weblocation,todownload,localname,layername
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_ai_1981-2010_V.2.1.tif ,0,,
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio10_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio10_cell.tif,egv_002
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio11_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio11_cell.tif,egv_003
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio12_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio12_cell.tif,egv_004
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio13_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio13_cell.tif,egv_005
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio14_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio14_cell.tif,egv_006
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio15_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio15_cell.tif,egv_007
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio16_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio16_cell.tif,egv_008
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio17_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio17_cell.tif,egv_009
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio18_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio18_cell.tif,egv_010
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio19_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio19_cell.tif,egv_011
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio1_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio1_cell.tif,egv_001
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio2_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio2_cell.tif,egv_012
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio3_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio3_cell.tif,egv_013
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio4_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio4_cell.tif,egv_014
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio5_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio5_cell.tif,egv_015
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio6_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-bio6_cell.tif,egv_016
