original_layer_name,local_name
hydro_avg_variable=_1,HydroClim_01-max_cell.tif
hydro_avg_variable=_2,HydroClim_02-max_cell.tif
hydro_avg_variable=_3,HydroClim_03-max_cell.tif
hydro_avg_variable=_4,HydroClim_04-max_cell.tif
hydro_avg_variable=_5,HydroClim_05-max_cell.tif
hydro_avg_variable=_6,HydroClim_06-min_cell.tif
hydro_avg_variable=_7,HydroClim_07-max_cell.tif
hydro_avg_variable=_8,HydroClim_08-max_cell.tif
hydro_avg_variable=_9,HydroClim_09-min_cell.tif
hydro_avg_variable=_10,HydroClim_10-max_cell.tif
hydro_avg_variable=_11,HydroClim_11-min_cell.tif
hydro_avg_variable=_12,HydroClim_12-max_cell.tif
hydro_avg_variable=_13,HydroClim_13-max_cell.tif
hydro_avg_variable=_14,HydroClim_14-max_cell.tif
hydro_avg_variable=_15,HydroClim_15-max_cell.tif
hydro_avg_variable=_16,HydroClim_16-max_cell.tif
hydro_avg_variable=_17,HydroClim_17-max_cell.tif
hydro_avg_variable=_18,HydroClim_18-max_cell.tif
hydro_avg_variable=_19,HydroClim_19-max_cell.tif
